route,week_of,best_justifying_note_id,best_justifying_similarity,closest_context_note_id,closest_context_similarity
Ahmedabad-Mumbai,2025-01-20,N002,0.3015113445777637,N002,0.3015113445777637
Chennai-Bangalore,2025-02-24,N001,0.25400025400038106,N001,0.25400025400038106
Chennai-Bangalore,2025-03-03,N001,0.25400025400038106,N001,0.25400025400038106
Chennai-Bangalore,2025-03-10,N001,0.1917271993342532,N009,0.27341739543287286
Chennai-Bangalore,2025-03-17,N001,0.1917271993342532,N009,0.27341739543287286
Delhi-Jaipur,2024-11-11,,,,
Delhi-Jaipur,2024-11-18,,,,
Mumbai-Pune,2024-06-10,,,,
Mumbai-Pune,2024-10-28,,,,
Mumbai-Pune,2024-12-16,,,,
Mumbai-Pune,2025-01-13,,,,
Mumbai-Pune,2025-06-23,,,,
Mumbai-Pune,2025-08-18,,,,
Mumbai-Pune,2025-09-15,,,N006,0.0
Mumbai-Pune,2025-09-22,,,N006,0.0
Mumbai-Pune,2025-10-06,,,N006,0.0
Mumbai-Pune,2025-10-13,,,N006,0.0
Mumbai-Pune,2025-10-20,,,N010,0.0
Mumbai-Pune,2025-10-27,,,N010,0.0
Mumbai-Pune,2025-11-03,,,N010,0.0
Mumbai-Pune,2025-11-10,,,N010,0.0
Mumbai-Pune,2025-11-17,,,N010,0.0
Mumbai-Pune,2025-11-24,,,,
Mumbai-Pune,2025-12-01,,,,
Mumbai-Pune,2025-12-08,,,,
Mumbai-Pune,2025-12-15,,,,
Mumbai-Pune,2025-12-22,,,,
