route,route_type,week_of,total_cost,total_tonne_km,cost_per_tonne_km,own_history_avg,vs_own_history_pct,peer_avg,vs_similar_routes_pct,is_flagged
Ahmedabad-Mumbai,Medium,2024-01-01,65994,26442.19,2.495784199417673,,,2.598211223154354,-3.9,False
Ahmedabad-Mumbai,Medium,2024-01-08,114257,44419.41,2.5722313736269795,2.495784199417673,3.1,2.7010030172793957,-4.8,False
Ahmedabad-Mumbai,Medium,2024-01-15,65390,25489.76,2.5653438871138845,2.5340077865223263,1.2,2.5862582241984473,-0.8,False
Ahmedabad-Mumbai,Medium,2024-01-22,120960,45311.09,2.6695451378459447,2.544453153386179,4.9,2.6761636512581863,-0.2,False
Ahmedabad-Mumbai,Medium,2024-01-29,106792,42837.97,2.4929285864853075,2.5757261495011203,-3.2,2.657266577155525,-6.2,False
Ahmedabad-Mumbai,Medium,2024-02-05,47186,18545.07,2.5443958960521584,2.5591666368979578,-0.6,2.676139428693331,-4.9,False
Ahmedabad-Mumbai,Medium,2024-02-12,61181,24717.15,2.475244921036608,2.556704846756991,-3.2,2.7379560592918475,-9.6,False
Ahmedabad-Mumbai,Medium,2024-02-19,76346,30844.01,2.4752293881372758,2.545067714511222,-2.7,2.694367667380092,-8.1,False
Ahmedabad-Mumbai,Medium,2024-02-26,82927,32301.75,2.5672602877553072,2.5363379237144787,1.2,2.6362526942225974,-2.6,False
Ahmedabad-Mumbai,Medium,2024-03-04,102309,40561.72,2.5223042809821674,2.545272434756683,-0.9,2.574685413512512,-2.0,False
Ahmedabad-Mumbai,Medium,2024-03-11,75344,28747.7,2.620870539208354,2.539031548176082,3.2,2.7196630318761104,-3.6,False
Ahmedabad-Mumbai,Medium,2024-03-18,85768,33947.58,2.526483478351034,2.5459723796878904,-0.8,2.641895006856675,-4.4,False
Ahmedabad-Mumbai,Medium,2024-03-25,100958,38159.69,2.645671387791672,2.5280896722510264,4.7,2.703227927145212,-2.1,False
Ahmedabad-Mumbai,Medium,2024-04-01,93785,36685.05,2.5564909956508166,2.547182522414322,0.4,2.612401290749121,-2.1,False
Ahmedabad-Mumbai,Medium,2024-04-08,58831,22703.1,2.5913201280882343,2.5486944098641544,1.7,2.6525744998010783,-2.3,False
Ahmedabad-Mumbai,Medium,2024-04-15,71337,29025.93,2.4576990297985284,2.563203810745608,-4.1,2.649324881915425,-7.2,False
Ahmedabad-Mumbai,Medium,2024-04-22,62938,23521.32,2.6757852025311504,2.5610125159532644,4.5,2.5644774582252503,4.3,False
Ahmedabad-Mumbai,Medium,2024-04-29,77471,30729.53,2.5210603611574927,2.574578130300245,-2.1,2.6339292506359144,-4.3,False
Ahmedabad-Mumbai,Medium,2024-05-06,87371,33617.869999999995,2.5989451443532863,2.5744226403221604,1.0,2.6100416733710077,-0.4,False
Ahmedabad-Mumbai,Medium,2024-05-13,68706,25886.98,2.654075523680244,2.571681965965277,3.2,2.6543086151422046,-0.0,False
Ahmedabad-Mumbai,Medium,2024-05-20,50322,19512.1,2.57901507269848,2.587630971631428,-0.3,2.7007375792941417,-4.5,False
Ahmedabad-Mumbai,Medium,2024-05-27,109179,43769.32,2.4944184648059418,2.5792989322447792,-3.3,2.6616055699302135,-6.3,False
Ahmedabad-Mumbai,Medium,2024-06-03,62381,25124.77,2.4828485992110574,2.5715398658891697,-3.4,2.679583803293766,-7.3,False
Ahmedabad-Mumbai,Medium,2024-06-10,101406,41507.22,2.443093032971132,2.5579809247795224,-4.5,2.5415939719542973,-3.9,False
Ahmedabad-Mumbai,Medium,2024-06-17,60993,24292.57,2.5107676956369787,2.556155175176098,-1.8,2.6934342493783774,-6.8,False
Ahmedabad-Mumbai,Medium,2024-06-24,113404,43289.33,2.6196755643942744,2.5355279868143263,3.3,2.677716521153359,-2.2,False
Ahmedabad-Mumbai,Medium,2024-07-01,72570,27652.26,2.6243786222174967,2.547854887218924,3.0,2.649449583826616,-0.9,False
Ahmedabad-Mumbai,Medium,2024-07-08,122820,47462.21,2.587742964349953,2.5510340719519506,1.4,2.6522734156271683,-2.4,False
Ahmedabad-Mumbai,Medium,2024-07-15,85905,33597.51,2.5568859120809844,2.542742502035664,0.6,2.7296565862333884,-6.3,False
Ahmedabad-Mumbai,Medium,2024-07-22,47248,18716.75,2.524369882591796,2.5399763569584772,-0.6,2.6533141046379485,-4.9,False
Ahmedabad-Mumbai,Medium,2024-07-29,104883,43020.8,2.437960242487355,2.543720284181709,-4.2,2.6796189974142965,-9.0,False
Ahmedabad-Mumbai,Medium,2024-08-05,86376,34354.89,2.51422723228047,2.5381092395912463,-0.9,2.6507238426343402,-5.1,False
Ahmedabad-Mumbai,Medium,2024-08-12,78524,32154.340000000004,2.442096463494508,2.5470010145049136,-4.1,2.6763752939979506,-8.8,False
Ahmedabad-Mumbai,Medium,2024-08-19,75091,28214.36,2.6614461572050545,2.5384171104871047,4.8,2.697186217449425,-1.3,False
Ahmedabad-Mumbai,Medium,2024-08-26,57267,22214.29,2.5779351939674866,2.5436384345884524,1.3,2.594414855137732,-0.6,False
Ahmedabad-Mumbai,Medium,2024-09-02,61677,24576.03,2.50964049116151,2.537833006057201,-1.1,2.5525072586027027,-1.7,False
Ahmedabad-Mumbai,Medium,2024-09-09,97010,38692.65,2.5071945188556484,2.5280701969086454,-0.8,2.6438351975555756,-5.2,False
Ahmedabad-Mumbai,Medium,2024-09-16,78424,30303.57,2.5879459086833663,2.5218587727554787,2.6,2.677638502187811,-3.3,False
Ahmedabad-Mumbai,Medium,2024-09-23,59790,24085.26,2.482431163292404,2.529805776016925,-1.9,2.674396524412785,-7.2,False
Ahmedabad-Mumbai,Medium,2024-09-30,82824,33280.99,2.4886278923794034,2.535364641117556,-1.8,2.667109643640506,-6.7,False
Ahmedabad-Mumbai,Medium,2024-10-07,103576,41561.96,2.492086513725532,2.5321647236299225,-1.6,2.705665035168262,-7.9,False
Ahmedabad-Mumbai,Medium,2024-10-14,93879,37972.38,2.472296969534172,2.5384134799088005,-2.6,2.624774471166008,-5.8,False
Ahmedabad-Mumbai,Medium,2024-10-21,80692,31581.33,2.5550538878508284,2.5147698314499403,1.6,2.6975236541553054,-5.3,False
Ahmedabad-Mumbai,Medium,2024-10-28,76251,28530.51,2.672612582109468,2.5119096681853583,6.4,2.5636175854043306,4.3,False
Ahmedabad-Mumbai,Medium,2024-11-04,70340,27894.01,2.521688348143562,2.532281179553853,-0.4,2.645586105567297,-4.7,False
Ahmedabad-Mumbai,Medium,2024-11-11,108179,41848.78,2.584997698857649,2.534092908214842,2.0,2.6776428125892684,-3.5,False
Ahmedabad-Mumbai,Medium,2024-11-18,47507,18308.1,2.594862383316673,2.5337243819866275,2.4,2.6577780521031613,-2.4,False
Ahmedabad-Mumbai,Medium,2024-11-25,85307,32847.69,2.597047159176185,2.547778284489661,1.9,2.7119285791389096,-4.2,False
Ahmedabad-Mumbai,Medium,2024-12-02,99241,39748.88,2.4966992780677093,2.5613306928392587,-2.5,2.648092983427163,-5.7,False
Ahmedabad-Mumbai,Medium,2024-12-09,91496,36806.82,2.485843656148507,2.561907288382031,-3.0,2.5785335661853224,-3.6,False
Ahmedabad-Mumbai,Medium,2024-12-16,125645,51239.17,2.4521279325953174,2.5636006242088225,-4.3,2.6372613544631416,-7.0,False
Ahmedabad-Mumbai,Medium,2024-12-23,98229,37307.7,2.6329417251666545,2.550734879801884,3.2,2.725940301326445,-3.4,False
Ahmedabad-Mumbai,Medium,2024-12-30,98544,38678.45,2.547775311575309,2.545776022684032,0.1,2.6813390117911258,-5.0,False
Ahmedabad-Mumbai,Medium,2025-01-06,72462,28829.53,2.5134644928307885,2.5490368931130005,-1.4,2.615919596956042,-3.9,False
Ahmedabad-Mumbai,Medium,2025-01-13,103862,39871.55,2.604915033401009,2.540095242359643,2.6,2.610331775765109,-0.2,False
Ahmedabad-Mumbai,Medium,2025-01-20,134631,40916.71,3.290367187391166,2.541351823620185,29.5,2.6861515905915425,22.5,True
Ahmedabad-Mumbai,Medium,2025-01-27,66049,26840.27,2.4608172719573984,2.6280168271470576,-6.4,2.6551868681534376,-7.3,False
Ahmedabad-Mumbai,Medium,2025-02-03,75778,30384.32,2.4939837389811585,2.6235315763832685,-4.9,2.612945262918033,-4.6,False
Ahmedabad-Mumbai,Medium,2025-02-10,108944,44592.24,2.4431156631736823,2.6245490867373498,-6.9,2.677183009508929,-8.7,False
Ahmedabad-Mumbai,Medium,2025-02-17,80830,32229.74,2.5079321148727853,2.623422553059646,-4.4,2.744293120769436,-8.6,False
