route,week_of,provider,input_tokens,output_tokens
Ahmedabad-Mumbai,2025-01-20,groq,147,70
Chennai-Bangalore,2025-02-24,groq,168,85
Chennai-Bangalore,2025-03-03,groq,168,92
Chennai-Bangalore,2025-03-10,groq,168,80
Chennai-Bangalore,2025-03-17,groq,168,80
Mumbai-Pune,2025-09-15,groq,151,80
Mumbai-Pune,2025-09-22,groq,151,94
Mumbai-Pune,2025-10-06,groq,151,87
Mumbai-Pune,2025-10-13,groq,151,88
Mumbai-Pune,2025-10-20,groq,153,85
Mumbai-Pune,2025-10-27,groq,153,87
Mumbai-Pune,2025-11-03,groq,153,85
Mumbai-Pune,2025-11-10,groq,153,86
Mumbai-Pune,2025-11-17,groq,153,86
