route,route_type,week_of,total_cost,total_tonne_km,cost_per_tonne_km
Ahmedabad-Mumbai,Medium,2024-01-01,65994,26442.190000000002,2.495784199417673
Ahmedabad-Mumbai,Medium,2024-01-08,114257,44419.41,2.5722313736269795
Ahmedabad-Mumbai,Medium,2024-01-15,65390,25489.76,2.5653438871138845
Ahmedabad-Mumbai,Medium,2024-01-22,120960,45311.09,2.6695451378459447
Ahmedabad-Mumbai,Medium,2024-01-29,106792,42837.97,2.4929285864853075
Ahmedabad-Mumbai,Medium,2024-02-05,47186,18545.07,2.5443958960521584
Ahmedabad-Mumbai,Medium,2024-02-12,61181,24717.15,2.475244921036608
Ahmedabad-Mumbai,Medium,2024-02-19,76346,30844.010000000002,2.4752293881372753
Ahmedabad-Mumbai,Medium,2024-02-26,82927,32301.75,2.5672602877553072
Ahmedabad-Mumbai,Medium,2024-03-04,102309,40561.72,2.5223042809821674
Ahmedabad-Mumbai,Medium,2024-03-11,75344,28747.7,2.620870539208354
Ahmedabad-Mumbai,Medium,2024-03-18,85768,33947.58,2.526483478351034
Ahmedabad-Mumbai,Medium,2024-03-25,100958,38159.69,2.645671387791672
Ahmedabad-Mumbai,Medium,2024-04-01,93785,36685.05,2.5564909956508166
Ahmedabad-Mumbai,Medium,2024-04-08,58831,22703.100000000002,2.5913201280882343
Ahmedabad-Mumbai,Medium,2024-04-15,71337,29025.93,2.4576990297985284
Ahmedabad-Mumbai,Medium,2024-04-22,62938,23521.32,2.6757852025311504
Ahmedabad-Mumbai,Medium,2024-04-29,77471,30729.53,2.5210603611574927
Ahmedabad-Mumbai,Medium,2024-05-06,87371,33617.869999999995,2.5989451443532863
Ahmedabad-Mumbai,Medium,2024-05-13,68706,25886.98,2.654075523680244
Ahmedabad-Mumbai,Medium,2024-05-20,50322,19512.1,2.5790150726984797
Ahmedabad-Mumbai,Medium,2024-05-27,109179,43769.32,2.4944184648059418
Ahmedabad-Mumbai,Medium,2024-06-03,62381,25124.77,2.4828485992110574
Ahmedabad-Mumbai,Medium,2024-06-10,101406,41507.22,2.4430930329711313
Ahmedabad-Mumbai,Medium,2024-06-17,60993,24292.57,2.5107676956369787
Ahmedabad-Mumbai,Medium,2024-06-24,113404,43289.33,2.6196755643942744
Ahmedabad-Mumbai,Medium,2024-07-01,72570,27652.260000000002,2.6243786222174967
Ahmedabad-Mumbai,Medium,2024-07-08,122820,47462.21,2.587742964349953
Ahmedabad-Mumbai,Medium,2024-07-15,85905,33597.51,2.5568859120809844
Ahmedabad-Mumbai,Medium,2024-07-22,47248,18716.75,2.524369882591796
Ahmedabad-Mumbai,Medium,2024-07-29,104883,43020.8,2.437960242487355
Ahmedabad-Mumbai,Medium,2024-08-05,86376,34354.89,2.51422723228047
Ahmedabad-Mumbai,Medium,2024-08-12,78524,32154.340000000004,2.442096463494508
Ahmedabad-Mumbai,Medium,2024-08-19,75091,28214.36,2.6614461572050545
